#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X
EVT_3182056_NAME;Second New Deal;Second New Deal;Second New Deal;Second New Deal;Der 'Second New Deal';Second New Deal;Second New Deal;Second New Deal;;;x
EVT_3182056_DESC;Although passed in 1935, it was not until Roosevelt's election victory in 1936 that the legislation of his 'Second New Deal' was considered permanent. Including the Works Progress Administration, National Labor Relations Act, and the Social Security Act, this program was designed to boost production and put the great masses of unemployed to work. A mixed success, it did help restore the confidence of the American public as it eased its way out of the Great Depression.;;;;Auch wenn der 'Second new deal' schon 1935 verabschiedet wurde, wurde er erst nach der Wiederwahl Roosevelts 1936 als verbindlich betrachtet. Dieses Programm sollte die Produktion ankurbeln und die grosse Masse der Arbeitslosen wieder beschдftigen. Dies gelang zwar nur beschrдnkt, aber es half ungemein, der US Bevцlkerung das Vertrauen in sich selbst zurьckzugeben und erleichterte so den Weg aus der grossen Depression der frьhen 30'er Jahre.;;;;;;x
ACTIONNAME3182056A;Full program of industrial, commercial, and social reform;Full program of industrial, commercial, and social reform;Full program of industrial, commercial, and social reform;Full program of industrial, commercial, and social reform;Wir ziehen das Programm voll durch;Full program of industrial, commercial, and social reform;Full program of industrial, commercial, and social reform;Full program of industrial, commercial, and social reform;;;x
ACTIONNAME3182056B;Limit reforms to commercial investments;Limit reforms to commercial investments;Limit reforms to commercial investments;Limit reforms to commercial investments;Die kommerziellen Reformen sind ausreichend;Limit reforms to commercial investments;Limit reforms to commercial investments;Limit reforms to commercial investments;;;x
ACTIONNAME3182056C;Limited Spending;Limited Spending;Limited Spending;Limited Spending;Das Gesamtprogramm ist zu groЯ;Limited Spending;Limited Spending;Limited Spending;;;x
EVT_3182007_NAME;Nicaragua-Honduras Crisis;Nicaragua-Honduras Crisis;Nicaragua-Honduras Crisis;Nicaragua-Honduras Crisis;Die Nicaragua-Honduras Krise;Nicaragua-Honduras Crisis;Nicaragua-Honduras Crisis;Nicaragua-Honduras Crisis;;;x
EVT_3182007_DESC;Nicaragua complained to the League about Honduran treatment of Nicaraguans and Honduran attitude in frontier dispute.;Nicaragua complained to the League about Honduran treatment of Nicaraguans and Honduran attitude in frontier dispute.;Nicaragua complained to the League about Honduran treatment of Nicaraguans and Honduran attitude in frontier dispute.;Nicaragua complained to the League about Honduran treatment of Nicaraguans and Honduran attitude in frontier dispute.;Nicaragua legte bei der Liga Beschwerde gegen die Behandlung Nicaraguaner durch Honduras ein und gegen die Haltung Honduras in der Grenzfrage.;Nicaragua complained to the League about Honduran treatment of Nicaraguans and Honduran attitude in frontier dispute.;Nicaragua complained to the League about Honduran treatment of Nicaraguans and Honduran attitude in frontier dispute.;Nicaragua complained to the League about Honduran treatment of Nicaraguans and Honduran attitude in frontier dispute.;;;x
ACTIONNAME3182007A;Settle the dispute;Settle the dispute;Settle the dispute;Settle the dispute;Wir legen die Krise bei;Settle the dispute;Settle the dispute;Settle the dispute;;;x
ACTIONNAME3182007B;Do not interfere;Do not interfere;Do not interfere;Do not interfere;Wir greifen nicht ein;Do not interfere;Do not interfere;Do not interfere;;;x
ACTIONNAME3182008A;Declare war;Declare war;Declare war;Declare war;Das bedeutet Krieg !;Declare war;Declare war;Declare war;;;x
ACTIONNAME3182008B;Back down;Back down;Back down;Back down;Wir verhalten uns ruhig;Back down;Back down;Back down;;;x
