Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bai Chongxi;5015001;CSX;1937;1937;1937;1990;1;8;20;4;0;3;0;L50247;1937;1966;1999;x
Zhang Zhen;5015002;CSX;1938;1942;1990;1990;2;3;0;0;0;3;0;L50001;1938;1981;1999;x
Zhang Zhen;5015003;CSX;1931;1942;1990;1990;2;3;0;1;0;3;0;L50002;1931;1981;1999;x
Zhang Chi;5015004;CSX;1930;1990;1990;1990;3;4;0;0;0;3;0;L50003;1930;1970;1999;x
Zhang Zhizhong;5015005;CSX;1923;1927;1928;1990;1;4;0;1;0;3;0;L50004;1923;1969;1999;x
Chang Enduo;5015006;CSX;1930;1990;1990;1990;3;3;0;0;0;2;0;L50005;1930;1970;1999;x
Zhang Fakui;5015007;CSX;1914;1923;1930;1990;1;4;2;1;0;3;0;L50006;1914;1970;1999;x
Zhang Fang;5015008;CSX;1917;1930;1937;1990;1;3;0;0;0;3;0;L50007;1917;1966;1999;x
Zhang Xuxing;5015009;CSX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50008;1930;1939;1999;x
Zhang Xuzi;5015010;CSX;1944;1990;1990;1990;3;4;256;0;0;4;0;L50009;1944;1970;1999;x
Zhang Xuezhong;5015011;CSX;1936;1999;1999;1999;3;3;0;0;0;3;0;L50010;1936;1995;1999;x
Zhang Xueliang;5015012;CSX;1932;1938;1940;1941;1;5;4;3;0;3;0;L50011;1930;2001;2002;x
Zhang Gan;5015013;CSX;1937;1938;1990;1990;2;3;0;0;0;4;0;L50012;1937;1957;1999;x
Zhang Kexia;5015014;CSX;1937;1949;1990;1990;3;3;0;0;0;4;0;L50013;1937;1984;1999;x
Zhang Lingfu;5015015;CSX;1937;1940;1990;1990;2;4;4;1;0;4;0;L50014;1937;1947;1999;x
Zhang Shixi;5015016;CSX;1930;1990;1990;1990;3;3;0;0;0;4;0;L50015;1930;1956;1999;x
