U51;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
1070001;Head of State;Abdullah bin Jassim Al Thani;1913;1949;1999;PA;Stern Imperialist;Very High;6058;X
1070002;Head of Government;Abdullah bin Jassim Al Thani;1913;1949;1999;PA;Flamboyant Tough Guy;Very High;6058;X
1070003;Foreign Minister;Abdullah bin Jassim Al Thani;1913;1949;1999;PA;Ideological Crusader;Very High;6058;X
1070004;Minister of Armament;Abdullah bin Jassim Al Thani;1913;1949;1999;PA;Administrative Genius;Very High;6058;X
1070005;Minister of Security;Abdullah bin Jassim Al Thani;1913;1949;1999;PA;Man of the People;Very High;6058;X
1070006;Head of Military Intelligence;Abdullah bin Jassim Al Thani;1913;1949;1999;PA;Logistics Specialist;Very High;6058;X
1070007;Chief of Staff;Abdullah bin Jassim Al Thani;1913;1949;1999;PA;School of Defence;Very High;6058;X
1070008;Chief of Army;Abdullah bin Jassim Al Thani;1913;1949;1999;PA;Guns and Butter Doctrine;Very High;6058;X
1070010;Chief of Army;Percy Zachariah Cox;1914;1932;1999;PA;Static Defence Doctrine;Very High;6057;X
1070011;Chief of Staff;Percy Zachariah Cox;1914;1932;1999;PA;School of Defence;Very High;6057;X
1070012;Chief of Navy;Percy Zachariah Cox;1914;1932;1999;PA;Base Control Doctrine;Very High;6057;X
