CSX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picture ID;X
5005200;Head of State;Tang Jiyao;1913;1927;1927;PA;Autocratic Charmer;High;9457;X
5005201;Head of Government;Ren Kecheng;1914;1933;1933;PA;Silent Workhorse;High;9458;X
5005202;Foreign Minister;Long Jinguang;1913;1930;1930;PA;General Staffer;High;9459;X
5005203;Minister of Armament;Ren Kecheng;1913;1933;1933;PA;Military Entrepreneur;Medium;9458;X
5005204;Minister of Security;Tang Jiyao;1913;1927;1927;PA;Man of the People;Medium;9457;X
5005205;Head of Military Intelligence;Tang Jiyao;1913;1927;1927;PA;Political Specialist;Medium;9457;X
5005206;Chief of Staff;Tang Jiyao;1913;1927;1927;PA;School of Psychology;High;9457;X
5005207;Chief of Army;Long Jinguang;1913;1930;1930;PA;Decisive Battle Doctrine;Medium;9459;X
5005208;Chief of Navy;Ren Kecheng;1914;1933;1933;PA;Open Seas Doctrine;Medium;9458;X
5005209;Chief of Air Force;Tang Jiyao;1913;1927;1927;PA;Army Aviation Doctrine;Medium;9457;X
5005210;Head of State;Cai E;1900;1917;1917;SC;Cai E;High;9460;X
5005211;Head of Government;Zhou Zhongyue;1915;1930;1930;SC;Naive Optimist;High;9461;X
5005212;Foreign Minister;Cai E;1900;1917;1917;SC;Ideological Crusader;Medium;9460;X
5005213;Minister of Armament;Zhou Zhongyue;1915;1930;1930;SC;Laissez-faire Capitalist;Medium;9461;X
5005214;Minister of Security;Liang Qichao;1895;1918;1918;ML;Compassionate Gentleman;Medium;9462;X
5005215;Head of Military Intelligence;Li Liejun;1908;1946;1946;PA;Dismal Enigma;Medium;9463;X
5005216;Chief of Staff;Cai E;1900;1917;1917;SC;School of Mass Combat;Medium;9460;X
5005217;Chief of Army;Li Liejun;1915;1945;1945;PA;Decisive Battle Doctrine;Medium;9463;X
5005218;Chief of Navy;Li Dingxin;1886;1930;1930;PA;Decisive Naval Battle Doctrine;High;9464;X
5005219;Head of Government;Tang Jiyao;1913;1927;1927;FA;Old General;High;9457;X
5005220;Chief of Army;Tang Jiyao;1913;1927;1927;PA;Decisive Battle Doctrine;Medium;9457;X
5005221;Head of State;Long Jinguang;1916;1930;1930;PA;Resigned Generalissimo;High;9459;X
5005222;Head of Government;Gu Pinzhen;1921;1933;1933;PA;Silent Workhorse;High;9465;X
5005223;Chief of Staff;Luo Peijin;1909;1923;1923;PA;School of Fire Support;High;9551;X
5005224;Chief of Staff;Wang Jiuling;1911;1927;1952;SC;School of Fire Support;Medium;9410;X
5005225;Minister of Armament;Wang Jiuling;1911;1927;1952;SC;Theoretical Scientist;Medium;9410;X
5005300;Head of State;Sun Zhongshan;1895;1926;1926;SD;Sun Zhongshan_1;High;9511;X
5005301;Head of Government;Sun Zhongshan;1895;1926;1926;SD;Sun Zhongshan_2;High;9511;X
5005302;Minister of Armament;Tang Shaoyi;1916;1924;1924;SC;Resource Industrialist;Medium;9486;X
5005303;Minister of Security;Hu Hanmin;1907;1934;1937;SC;Man of the People;Medium;9512;X
5005304;Head of Military Intelligence;Hu Hanmin;1897;1934;1937;SC;Political Specialist;Very High;9512;X
5005305;Chief of Staff;Li Liejun;1908;1946;1946;PA;School of Mass Combat;Medium;9463;X
5005306;Chief of Army;Xu Chongzhi;1906;1927;1951;SC;Decisive Battle Doctrine;Medium;9513;X
5005307;Chief of Navy;Cheng Biguang;1894;1918;1918;SC;Decisive Naval Battle Doctrine;High;9514;X
5005308;Chief of Air Force;Xu Chongzhi;1906;1927;1951;SC;Army Aviation Doctrine;Medium;9513;X
5005309;Chief of Army;Tang Jiyao;1913;1927;1927;PA;Decisive Battle Doctrine;Medium;9457;X
5005310;Chief of Army;Chen Jiongming;1909;1922;1933;PA;Guns and Butter Doctrine;Medium;9515;X
5005311;Head of Military Intelligence;Chen Jiongming;1909;1922;1933;PA;Dismal Enigma;Very High;9515;X
5005312;Head of Military Intelligence;Jiang Jieshi;1912;1976;1976;PA;Logistics Specialist;High;9516;X
5005313;Foreign Minister;Wu Chaoshu;1913;1935;1935;SC;Apologetic Clerk;High;9517;X
5005314;Minister of Armament;Liao Zhongkai;1905;1926;1926;SC;Administrative Genius;Medium;9518;X
5005315;Minister of Security;Chen Jiongming;1909;1922;1933;PA;Prince of Terror;Medium;9515;X
5005316;Chief of Army;Xu Shaozhen;1904;1926;1926;SC;Static Defence Doctrine;High;9519;X
5005317;Chief of Staff;Chen Jiongming;1909;1922;1933;PA;School of Manoeuvre;High;9515;X
5005318;Head of State;Hu Hanmin;1907;1934;1937;SC;Weary Stiffneck;High;9512;X
